no,weight_adult,wing_area_mm2,length_mm
231,NA,NA,NA
232,NA,534.477,40.1045
233,NA,NA,NA
234,NA,NA,NA
235,NA,NA,NA
236,0.3159,581.871,40.4627
237,NA,NA,NA
238,0.4276,760.289,46.7389
239,0.3383,610.392,39.3714
240,NA,NA,NA
241,NA,NA,NA
242,NA,NA,NA
243,NA,NA,NA
244,NA,NA,NA
245,NA,NA,NA
246,NA,NA,NA
247,NA,NA,NA
248,0.4332,831.824,48.6513
249,NA,NA,NA
250,NA,NA,NA
251,0.3003,618.686,42.7227
252,0.312,681.158,43.0573
253,NA,NA,NA
254,0.3939,715.497,44.3952
255,NA,NA,NA
256,NA,NA,NA
257,NA,NA,NA
258,NA,NA,NA
259,NA,NA,NA
260,NA,NA,NA
261,0.3345,750.048,45.2367
262,0.2637,637.982,42.8015
263,0.3603,681.461,44.0325
264,NA,NA,NA
265,0.3464,704.086,44.5396
266,0.3397,687.132,44.3607
267,0.3048,722.931,44.8579
268,0.3359,715.674,45.2428
269,0.2815,667.462,42.7181
270,NA,NA,NA
271,0.3326,758.794,45.9113
272,NA,NA,NA
273,0.372,691.765,44.2853
274,0.178,493.163,36.9986
275,0.3997,772.631,46.019
276,0.3107,621.218,42.2313
277,0.3125,666.34,43.5386
278,0.352,678.965,43.9409
279,NA,NA,NA
280,0.4342,769.746,46.9403
281,0.2732,653.561,42.9232
282,NA,NA,NA
283,0.3597,789.085,46.7422
284,0.2606,570.784,39.3947
285,NA,NA,NA
286,0.346,727.811,44.6961
287,0.3598,750.443,46.1067
288,0.3567,745.492,46.3808
289,0.3013,638.031,41.9315
290,0.3775,737.269,46.669
291,NA,NA,NA
292,0.2687,598.318,40.1204
293,NA,NA,NA
294,0.3031,649.104,43.654
295,NA,NA,NA
296,0.3279,669.966,43.6264
297,NA,NA,NA
298,0.2825,626.564,42.3465
299,0.3254,752.108,45.0163
300,NA,NA,NA
301,0.6323,894.684,51.4578
302,NA,NA,NA
303,NA,NA,NA
304,NA,NA,NA
305,NA,NA,NA
306,0.6644,899.458,51.67
307,NA,NA,NA
308,0.6193,956.542,52.4055
309,0.4536,740.393,46.5305
310,0.51,776.658,48.8905
311,0.6036,905.192,52.2621
312,0.614,964.526,53.4185
313,NA,NA,NA
314,0.6356,916.843,52.6597
315,NA,NA,NA
316,0.5228,808.677,50.207
317,0.5289,806.18,49.1147
318,0.4397,739.131,48.3826
328,0.3543,637.051,43.8712
319,NA,NA,NA
320,NA,NA,NA
321,NA,NA,NA
322,0.5592,864.294,50.8568
